,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC (AP)
0,Logistic Regression,0.9766081871345029,0.9838709677419355,0.953125,0.9682539682539683,0.9969334112149533,0.9954569363851578
1,SVM (RBF),0.9941520467836257,1.0,0.984375,0.9921259842519685,0.9976635514018691,0.996875
2,LDA,0.9532163742690059,1.0,0.875,0.9333333333333333,0.9988317757009346,0.9982638888888888
3,k-NN,0.9590643274853801,0.9830508474576272,0.90625,0.943089430894309,0.9798481308411214,0.9714640491875826
